"_","Id","OwnerId","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","Url__c"
"[ChallengeUser__c]","a00gK00000pHJ45QAG","005gK00003RWpotQAD","false","bulbasaur","30/04/2026 21:29","005gK00003RWpotQAD","30/04/2026 21:29","005gK00003RWpotQAD","30/04/2026 21:29","https://pokeapi.co/api/v2/pokemon/1/"
"[ChallengeUser__c]","a00gK00000pHJ46QAG","005gK00003RWpotQAD","false","ivysaur","30/04/2026 21:29","005gK00003RWpotQAD","30/04/2026 21:29","005gK00003RWpotQAD","30/04/2026 21:29","https://pokeapi.co/api/v2/pokemon/2/"
"[ChallengeUser__c]","a00gK00000pHJ47QAG","005gK00003RWpotQAD","false","venusaur","30/04/2026 21:29","005gK00003RWpotQAD","30/04/2026 21:29","005gK00003RWpotQAD","30/04/2026 21:29","https://pokeapi.co/api/v2/pokemon/3/"
"[ChallengeUser__c]","a00gK00000pHJ48QAG","005gK00003RWpotQAD","false","charmander","30/04/2026 21:29","005gK00003RWpotQAD","30/04/2026 21:29","005gK00003RWpotQAD","30/04/2026 21:29","https://pokeapi.co/api/v2/pokemon/4/"
"[ChallengeUser__c]","a00gK00000pHJ49QAG","005gK00003RWpotQAD","false","charmeleon","30/04/2026 21:29","005gK00003RWpotQAD","30/04/2026 21:29","005gK00003RWpotQAD","30/04/2026 21:29","https://pokeapi.co/api/v2/pokemon/5/"
"[ChallengeUser__c]","a00gK00000pHJ4AQAW","005gK00003RWpotQAD","false","charizard","30/04/2026 21:29","005gK00003RWpotQAD","30/04/2026 21:29","005gK00003RWpotQAD","30/04/2026 21:29","https://pokeapi.co/api/v2/pokemon/6/"
"[ChallengeUser__c]","a00gK00000pHJ4BQAW","005gK00003RWpotQAD","false","squirtle","30/04/2026 21:29","005gK00003RWpotQAD","30/04/2026 21:29","005gK00003RWpotQAD","30/04/2026 21:29","https://pokeapi.co/api/v2/pokemon/7/"
"[ChallengeUser__c]","a00gK00000pHJ4CQAW","005gK00003RWpotQAD","false","wartortle","30/04/2026 21:29","005gK00003RWpotQAD","30/04/2026 21:29","005gK00003RWpotQAD","30/04/2026 21:29","https://pokeapi.co/api/v2/pokemon/8/"
"[ChallengeUser__c]","a00gK00000pHJ4DQAW","005gK00003RWpotQAD","false","blastoise","30/04/2026 21:29","005gK00003RWpotQAD","30/04/2026 21:29","005gK00003RWpotQAD","30/04/2026 21:29","https://pokeapi.co/api/v2/pokemon/9/"
"[ChallengeUser__c]","a00gK00000pHJ4EQAW","005gK00003RWpotQAD","false","caterpie","30/04/2026 21:29","005gK00003RWpotQAD","30/04/2026 21:29","005gK00003RWpotQAD","30/04/2026 21:29","https://pokeapi.co/api/v2/pokemon/10/"
"[ChallengeUser__c]","a00gK00000pHJ4FQAW","005gK00003RWpotQAD","false","metapod","30/04/2026 21:29","005gK00003RWpotQAD","30/04/2026 21:29","005gK00003RWpotQAD","30/04/2026 21:29","https://pokeapi.co/api/v2/pokemon/11/"
"[ChallengeUser__c]","a00gK00000pHJ4GQAW","005gK00003RWpotQAD","false","butterfree","30/04/2026 21:29","005gK00003RWpotQAD","30/04/2026 21:29","005gK00003RWpotQAD","30/04/2026 21:29","https://pokeapi.co/api/v2/pokemon/12/"
"[ChallengeUser__c]","a00gK00000pHJ4HQAW","005gK00003RWpotQAD","false","weedle","30/04/2026 21:29","005gK00003RWpotQAD","30/04/2026 21:29","005gK00003RWpotQAD","30/04/2026 21:29","https://pokeapi.co/api/v2/pokemon/13/"
"[ChallengeUser__c]","a00gK00000pHJ4IQAW","005gK00003RWpotQAD","false","kakuna","30/04/2026 21:29","005gK00003RWpotQAD","30/04/2026 21:29","005gK00003RWpotQAD","30/04/2026 21:29","https://pokeapi.co/api/v2/pokemon/14/"
"[ChallengeUser__c]","a00gK00000pHJ4JQAW","005gK00003RWpotQAD","false","beedrill","30/04/2026 21:29","005gK00003RWpotQAD","30/04/2026 21:29","005gK00003RWpotQAD","30/04/2026 21:29","https://pokeapi.co/api/v2/pokemon/15/"
"[ChallengeUser__c]","a00gK00000pHJ4KQAW","005gK00003RWpotQAD","false","pidgey","30/04/2026 21:29","005gK00003RWpotQAD","30/04/2026 21:29","005gK00003RWpotQAD","30/04/2026 21:29","https://pokeapi.co/api/v2/pokemon/16/"
"[ChallengeUser__c]","a00gK00000pHJ4LQAW","005gK00003RWpotQAD","false","pidgeotto","30/04/2026 21:29","005gK00003RWpotQAD","30/04/2026 21:29","005gK00003RWpotQAD","30/04/2026 21:29","https://pokeapi.co/api/v2/pokemon/17/"
"[ChallengeUser__c]","a00gK00000pHJ4MQAW","005gK00003RWpotQAD","false","pidgeot","30/04/2026 21:29","005gK00003RWpotQAD","30/04/2026 21:29","005gK00003RWpotQAD","30/04/2026 21:29","https://pokeapi.co/api/v2/pokemon/18/"
"[ChallengeUser__c]","a00gK00000pHJ4NQAW","005gK00003RWpotQAD","false","rattata","30/04/2026 21:29","005gK00003RWpotQAD","30/04/2026 21:29","005gK00003RWpotQAD","30/04/2026 21:29","https://pokeapi.co/api/v2/pokemon/19/"
"[ChallengeUser__c]","a00gK00000pHJ4OQAW","005gK00003RWpotQAD","false","raticate","30/04/2026 21:29","005gK00003RWpotQAD","30/04/2026 21:29","005gK00003RWpotQAD","30/04/2026 21:29","https://pokeapi.co/api/v2/pokemon/20/"
"[ChallengeUser__c]","a00gK00000pHJ4PQAW","005gK00003RWpotQAD","false","spearow","30/04/2026 21:29","005gK00003RWpotQAD","30/04/2026 21:29","005gK00003RWpotQAD","30/04/2026 21:29","https://pokeapi.co/api/v2/pokemon/21/"
"[ChallengeUser__c]","a00gK00000pHJ4QQAW","005gK00003RWpotQAD","false","fearow","30/04/2026 21:29","005gK00003RWpotQAD","30/04/2026 21:29","005gK00003RWpotQAD","30/04/2026 21:29","https://pokeapi.co/api/v2/pokemon/22/"
"[ChallengeUser__c]","a00gK00000pHJ4RQAW","005gK00003RWpotQAD","false","ekans","30/04/2026 21:29","005gK00003RWpotQAD","30/04/2026 21:29","005gK00003RWpotQAD","30/04/2026 21:29","https://pokeapi.co/api/v2/pokemon/23/"
"[ChallengeUser__c]","a00gK00000pHJ4SQAW","005gK00003RWpotQAD","false","arbok","30/04/2026 21:29","005gK00003RWpotQAD","30/04/2026 21:29","005gK00003RWpotQAD","30/04/2026 21:29","https://pokeapi.co/api/v2/pokemon/24/"
